Planid,Cihazid,BakimPeriyodu,BakimSirasi,PlanlananTarih,Bakim,Durum,BakimTarihi,BakimTipi,YapilanIslemler,Aciklama,Teknisyen,Rapor,sync_status,updated_at
P-1768465894,ANZ-XRY-SKP-6,3 Ay,1. Bakım,2026-02-12,Periyodik,Yapıldı,2026-02-12,Periyodik,Periyodik,-,,-,clean,2026-02-23T12:14:55.541466
P-1768465895,ANZ-XRY-SKP-6,3 Ay,2. Bakım,2026-04-15,Periyodik,Planlandı,,Periyodik,-,-,,,clean,2026-02-23T12:14:55.550592
P-1768465896,ANZ-XRY-SKP-6,3 Ay,3. Bakım,2026-07-15,Periyodik,Planlandı,,Periyodik,-,-,,,clean,2026-02-23T12:14:55.559567
P-1768465897,ANZ-XRY-SKP-6,3 Ay,4. Bakım,2026-10-15,Periyodik,Planlandı,,Periyodik,-,-,,,clean,2026-02-23T12:14:55.566548
P-1768466201,ANZ-XRY-SKP-7,6 Ay,1. Bakım,2026-01-15,Periyodik,Yapıldı,2026-01-15,Periyodik,yapılan işlemler,,cem kara,-,clean,2026-02-23T12:14:55.574527
P-1768466202,ANZ-XRY-SKP-7,6 Ay,2. Bakım,2026-07-15,Periyodik,Planlandı,,Periyodik,-,-,,,clean,2026-02-23T12:14:55.582670
P-1770898022,CER-XRY-SKP-12,3 Ay,1. Bakım,2026-02-12,Periyodik,Planlandı,,Periyodik,,,Admin,-,clean,2026-02-23T12:14:55.590651
P-1770898023,CER-XRY-SKP-12,3 Ay,2. Bakım,2026-05-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.598810
P-1770898024,CER-XRY-SKP-12,3 Ay,3. Bakım,2026-08-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.606789
P-1770898025,CER-XRY-SKP-12,3 Ay,4. Bakım,2026-11-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.614771
P-1770913615,ANZ-XRY-SKP-6,6 Ay,1. Bakım,2026-01-01,Periyodik,Yapıldı,2026-02-12,Periyodik,,,Admin,-,clean,2026-02-23T12:14:55.622747
P-1770913616,ANZ-XRY-SKP-6,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.630725
P-1770913617,ANZ-XRY-SKP-6,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.638705
P-1770913618,CER-XRY-SKP-14,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.645684
P-1770913619,CER-XRY-SKP-14,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.653663
P-1770913620,CER-XRY-SKP-14,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.661686
P-1770913621,CER-XRY-SKP-5,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.669626
P-1770913622,CER-XRY-SKP-5,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.677910
P-1770913623,CER-XRY-SKP-5,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.685889
P-1770913624,DAH-XRY-SKP-4,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.694026
P-1770913625,DAH-XRY-SKP-4,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.701062
P-1770913626,DAH-XRY-SKP-4,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.709103
P-1770913627,KDC-XRY-ANJ-5,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.717078
P-1770913628,KDC-XRY-ANJ-5,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.725123
P-1770913629,KDC-XRY-ANJ-5,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.733218
P-1770913630,ORT-XRY-SKP-3,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.741198
P-1770913631,ORT-XRY-SKP-3,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.749367
P-1770913632,ORT-XRY-SKP-3,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.756470
P-1770913633,RAD-GOR-MRI-1,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.764449
P-1770913634,RAD-GOR-MRI-1,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.772581
P-1770913635,RAD-GOR-MRI-1,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.780879
P-1770913636,RAD-GOR-USG-11,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.788865
P-1770913637,RAD-GOR-USG-11,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.796899
P-1770913638,RAD-GOR-USG-11,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.804092
P-1770913639,RAD-XRY-ANJ-2,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.811069
P-1770913640,RAD-XRY-ANJ-2,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.819051
P-1770913641,RAD-XRY-ANJ-2,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.827236
P-1770913642,URO-XRY-SKP-9,6 Ay,1. Bakım,2026-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.829861
P-1770913643,URO-XRY-SKP-9,6 Ay,2. Bakım,2026-07-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.839881
P-1770913644,URO-XRY-SKP-9,6 Ay,3. Bakım,2027-01-01,Periyodik,Planlandı,,Periyodik,,,Admin,,clean,2026-02-23T12:14:55.851571
P-1770927855,RAD-GOR-USG-2,3 Ay,1. Bakım,2026-02-12,Periyodik,Planlandı,,Periyodik,,,,-,clean,2026-02-23T12:14:55.859770
P-1770927856,RAD-GOR-USG-2,3 Ay,2. Bakım,2026-05-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.867900
P-1770927857,RAD-GOR-USG-2,3 Ay,3. Bakım,2026-08-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.875065
P-1770927858,RAD-GOR-USG-2,3 Ay,4. Bakım,2026-11-12,Periyodik,Planlandı,,Periyodik,,,,,clean,2026-02-23T12:14:55.883509
